__timestamp,Total Wallet
2020-07-06,1.0
2020-07-07,1.0
2020-07-20,3.0
2020-07-21,3.0
2020-07-22,7.0
2020-07-23,37.0
2020-07-24,9.0
2020-07-25,15.0
2020-07-26,5.0
2020-07-27,15.0
2020-07-28,5.0
2020-07-29,5.0
2020-07-30,2.0
2020-07-31,8.0
2020-08-01,35.0
2020-08-02,9.0
2020-08-03,159.0
2020-08-04,66.0
2020-08-05,47.0
2020-08-06,44.0
2020-08-07,35.0
2020-08-08,40.0
2020-08-09,34.0
2020-08-10,42.0
2020-08-11,40.0
2020-08-12,24.0
2020-08-13,1632.0
2020-08-14,30.0
2020-08-15,31.0
2020-08-16,31.0
2020-08-17,65.0
2020-08-18,34.0
2020-08-19,26.0
2020-08-20,29.0
2020-08-21,34.0
2020-08-22,35.0
2020-08-23,33.0
2020-08-24,54.0
2020-08-25,40.0
2020-08-26,49.0
2020-08-27,52.0
2020-08-28,64.0
2020-08-29,58.0
2020-08-30,60.0
2020-08-31,43.0
2020-09-01,72.0
2020-09-02,65.0
2020-09-03,49.0
2020-09-04,35.0
2020-09-05,62.0
2020-09-06,54.0
2020-09-07,44.0
2020-09-08,45.0
2020-09-09,46.0
2020-09-10,52.0
2020-09-11,61.0
2020-09-12,42.0
2020-09-13,64.0
2020-09-14,60.0
2020-09-15,41.0
2020-09-16,36.0
2020-09-17,28.0
2020-09-18,38.0
2020-09-19,46.0
2020-09-20,30.0
2020-09-21,40.0
2020-09-22,49.0
2020-09-23,51.0
2020-09-24,55.0
2020-09-25,45.0
2020-09-26,68.0
2020-09-27,35.0
2020-09-28,38.0
2020-09-29,41.0
2020-09-30,60.0
2020-10-01,127.0
2020-10-02,53.0
2020-10-03,44.0
2020-10-04,54.0
2020-10-05,37.0
2020-10-06,68.0
2020-10-07,28.0
2020-10-08,33.0
2020-10-09,98.0
2020-10-10,47.0
2020-10-11,38.0
2020-10-12,56.0
2020-10-13,44.0
2020-10-14,56.0
2020-10-15,43.0
2020-10-16,40.0
2020-10-17,30.0
2020-10-18,39.0
2020-10-19,45.0
2020-10-20,79.0
2020-10-21,47.0
2020-10-22,94.0
2020-10-23,76.0
2020-10-24,57.0
2020-10-25,53.0
2020-10-26,48.0
2020-10-27,92.0
2020-10-28,87.0
2020-10-29,109.0
2020-10-30,97.0
2020-10-31,79.0
2020-11-01,103.0
2020-11-02,133.0
2020-11-03,327.0
2020-11-04,365.0
2020-11-05,130.0
2020-11-06,114.0
2020-11-07,76.0
2020-11-08,129.0
2020-11-09,71.0
2020-11-10,90.0
2020-11-11,73.0
2020-11-12,54.0
2020-11-13,111.0
2020-11-14,67.0
2020-11-15,68.0
2020-11-16,78.0
2020-11-17,84.0
2020-11-18,76.0
2020-11-19,139.0
2020-11-20,77.0
2020-11-21,60.0
2020-11-22,46.0
2020-11-23,72.0
2020-11-24,53.0
2020-11-25,118.0
2020-11-26,62.0
2020-11-27,73.0
2020-11-28,59.0
2020-11-29,42.0
2020-11-30,524.0
2020-12-01,233.0
2020-12-02,73.0
2020-12-03,78.0
2020-12-04,70.0
2020-12-05,40.0
2020-12-06,86.0
2020-12-07,99.0
2020-12-08,75.0
2020-12-09,4287.0
2020-12-10,105.0
2020-12-11,140.0
2020-12-12,137.0
2020-12-13,104.0
2020-12-14,150.0
2020-12-15,167.0
2020-12-16,125.0
2020-12-17,89.0
2020-12-18,185.0
2020-12-19,115.0
2020-12-20,85.0
2020-12-21,62.0
2020-12-22,85.0
2020-12-23,81.0
2020-12-24,84.0
2020-12-25,48.0
2020-12-26,114.0
2020-12-27,174.0
2020-12-28,153.0
2020-12-29,154.0
2020-12-30,110.0
2020-12-31,109.0
2021-01-01,306.0
2021-01-02,127.0
2021-01-03,95.0
2021-01-04,103.0
2021-01-05,99.0
2021-01-06,197.0
2021-01-07,123.0
2021-01-08,102.0
2021-01-09,131.0
2021-01-10,104.0
2021-01-11,47.0
2021-01-12,74.0
2021-01-13,107.0
2021-01-14,137.0
2021-01-15,99.0
2021-01-16,107.0
2021-01-17,105.0
2021-01-18,149.0
2021-01-19,341.0
2021-01-20,297.0
2021-01-21,257.0
2021-01-22,224.0
2021-01-23,563.0
2021-01-24,447.0
2021-01-25,592.0
2021-01-26,653.0
2021-01-27,857.0
2021-01-28,328.0
2021-01-29,444.0
2021-01-30,214.0
2021-01-31,428.0
2021-02-01,382.0
2021-02-02,203.0
2021-02-03,181.0
2021-02-04,145.0
2021-02-05,147.0
2021-02-06,137.0
2021-02-07,182.0
2021-02-08,348.0
2021-02-09,200.0
2021-02-10,229.0
2021-02-11,191.0
2021-02-12,189.0
2021-02-13,201.0
2021-02-14,170.0
2021-02-15,188.0
2021-02-16,181.0
2021-02-17,173.0
2021-02-18,229.0
2021-02-19,233.0
2021-02-20,160.0
2021-02-21,558.0
2021-02-22,209.0
2021-02-23,231.0
2021-02-24,242.0
2021-02-25,261.0
2021-02-26,219.0
2021-02-27,246.0
2021-02-28,272.0
2021-03-01,217.0
2021-03-02,2698.0
2021-03-03,2035.0
2021-03-04,480.0
2021-03-05,407.0
2021-03-06,543.0
2021-03-07,706.0
2021-03-08,7646.0
2021-03-09,904.0
2021-03-10,656.0
2021-03-11,591.0
2021-03-12,1282.0
2021-03-13,678.0
2021-03-14,571.0
2021-03-15,478.0
2021-03-16,446.0
2021-03-17,424.0
2021-03-18,575.0
2021-03-19,820.0
2021-03-20,839.0
2021-03-21,472.0
2021-03-22,475.0
2021-03-23,1425.0
2021-03-24,639.0
2021-03-25,1162.0
2021-03-26,558.0
2021-03-27,428.0
2021-03-28,405.0
2021-03-29,1186.0
2021-03-30,869.0
2021-03-31,888.0
2021-04-01,1101.0
2021-04-02,637.0
2021-04-03,1052.0
2021-04-04,398.0
2021-04-05,400.0
2021-04-06,1265.0
2021-04-07,516.0
2021-04-08,770.0
2021-04-09,1018.0
2021-04-10,946.0
2021-04-11,907.0
2021-04-12,592.0
2021-04-13,660.0
2021-04-14,2952.0
2021-04-15,1105.0
2021-04-16,2211.0
2021-04-17,468.0
2021-04-18,674.0
2021-04-19,1684.0
2021-04-20,2524.0
2021-04-21,670.0
2021-04-22,1937.0
2021-04-23,991.0
2021-04-24,763.0
2021-04-25,1084.0
2021-04-26,944.0
2021-04-27,986.0
2021-04-28,1029.0
2021-04-29,970.0
2021-04-30,1012.0
2021-05-01,940.0
2021-05-02,972.0
2021-05-03,1021.0
2021-05-04,3202.0
2021-05-05,674641.0
2021-05-06,328658.0
2021-05-07,3294.0
2021-05-08,4932.0
2021-05-09,2174.0
2021-05-10,2685.0
2021-05-11,603976.0
2021-05-12,387295.0
2021-05-13,2382.0
2021-05-14,20801.0
2021-05-15,1729.0
2021-05-16,1544.0
2021-05-17,1983.0
2021-05-18,1622.0
2021-05-19,7829.0
2021-05-20,383415.0
2021-05-21,891759.0
2021-05-22,27590.0
2021-05-23,1054.0
2021-05-24,45920.0
2021-05-25,6054.0
2021-05-26,1504.0
2021-05-27,12157.0
2021-05-28,1958.0
2021-05-29,1965.0
2021-05-30,2567.0
2021-05-31,192803.0
2021-06-01,4455.0
2021-06-02,12887.0
2021-06-03,13139.0
2021-06-04,9376.0
2021-06-05,6827.0
2021-06-06,4370.0
2021-06-07,2053.0
2021-06-08,3770.0
2021-06-09,4320.0
2021-06-10,21076.0
2021-06-11,9067.0
2021-06-12,1147.0
2021-06-13,1360.0
2021-06-14,9009.0
2021-06-15,3811.0
2021-06-16,1449.0
2021-06-17,7402.0
2021-06-18,1511.0
2021-06-19,1604.0
2021-06-20,2637.0
2021-06-21,2716.0
2021-06-22,1945.0
2021-06-23,3347.0
2021-06-24,7859.0
2021-06-25,7770.0
2021-06-26,1996.0
2021-06-27,2593.0
2021-06-28,4622.0
2021-06-29,2479.0
2021-06-30,4058.0
2021-07-01,4717.0
2021-07-02,9293.0
2021-07-03,7802.0
2021-07-04,31679.0
2021-07-05,8765.0
2021-07-06,5425.0
2021-07-07,4814.0
2021-07-08,8681.0
2021-07-09,11019.0
2021-07-10,9864.0
2021-07-11,6367.0
2021-07-12,5407.0
2021-07-13,9430.0
2021-07-14,6666.0
2021-07-15,5867.0
2021-07-16,5909.0
2021-07-17,5067.0
2021-07-18,6372.0
2021-07-19,7293.0
2021-07-20,7369.0
2021-07-21,7847.0
2021-07-22,20263.0
2021-07-23,10750.0
2021-07-24,9697.0
2021-07-25,9185.0
2021-07-26,17183.0
2021-07-27,20812.0
2021-07-28,34876.0
2021-07-29,28153.0
2021-07-30,62192.0
2021-07-31,8980.0
2021-08-01,10624.0
2021-08-02,8887.0
2021-08-03,28506.0
2021-08-04,10102.0
2021-08-05,7147.0
2021-08-06,22001.0
2021-08-07,20561.0
2021-08-08,8693.0
2021-08-09,17112.0
2021-08-10,12663.0
2021-08-11,64287.0
2021-08-12,8208.0
2021-08-13,13660.0
2021-08-14,15697.0
2021-08-15,9696.0
2021-08-16,9589.0
2021-08-17,12336.0
2021-08-18,10050.0
2021-08-19,11054.0
2021-08-20,12381.0
2021-08-21,13227.0
2021-08-22,11875.0
2021-08-23,23174.0
2021-08-24,12740.0
2021-08-25,20162.0
2021-08-26,23365.0
2021-08-27,18674.0
2021-08-28,17314.0
2021-08-29,36204.0
2021-08-30,16217.0
2021-08-31,17963.0
2021-09-01,41638.0
2021-09-02,21239.0
2021-09-03,27714.0
2021-09-04,25161.0
2021-09-05,18418.0
2021-09-06,28473.0
2021-09-07,17571.0
2021-09-08,22318.0
2021-09-09,42887.0
2021-09-10,47114.0
2021-09-11,32804.0
2021-09-12,24622.0
2021-09-13,31689.0
2021-09-14,31449.0
2021-09-15,41634.0
2021-09-16,45271.0
2021-09-17,36742.0
2021-09-18,47736.0
2021-09-19,41898.0
2021-09-20,69714.0
2021-09-21,32873.0
2021-09-22,27453.0
2021-09-23,26893.0
2021-09-24,37970.0
2021-09-25,61565.0
2021-09-26,25581.0
2021-09-27,37263.0
2021-09-28,32647.0
2021-09-29,20813.0
2021-09-30,63598.0
2021-10-01,50960.0
2021-10-02,62434.0
2021-10-03,32712.0
2021-10-04,112563.0
2021-10-05,39677.0
2021-10-06,42841.0
2021-10-07,69785.0
2021-10-08,42776.0
2021-10-09,42054.0
2021-10-10,33366.0
2021-10-11,37110.0
2021-10-12,36276.0
2021-10-13,34671.0
2021-10-14,40928.0
2021-10-15,47673.0
2021-10-16,37061.0
2021-10-17,181094.0
2021-10-18,28366.0
2021-10-19,40195.0
2021-10-20,45991.0
2021-10-21,43946.0
2021-10-22,41578.0
2021-10-23,38465.0
2021-10-24,31177.0
2021-10-25,42798.0
2021-10-26,47530.0
2021-10-27,89809.0
2021-10-28,58827.0
2021-10-29,57725.0
2021-10-30,43852.0
2021-10-31,34812.0
2021-11-01,33197.0
2021-11-02,44927.0
2021-11-03,47824.0
2021-11-04,42206.0
2021-11-05,53834.0
2021-11-06,38567.0
2021-11-07,45881.0
2021-11-08,48837.0
2021-11-09,52547.0
2021-11-10,61287.0
2021-11-11,72232.0
2021-11-12,105447.0
2021-11-13,70340.0
2021-11-14,51031.0
2021-11-15,211411.0
2021-11-16,72185.0
2021-11-17,36087.0
2021-11-18,36983.0
2021-11-19,48368.0
2021-11-20,44620.0
2021-11-21,65751.0
2021-11-22,27960.0
2021-11-23,29125.0
2021-11-24,36958.0
2021-11-25,48261.0
2021-11-26,42514.0
2021-11-27,37965.0
2021-11-28,31579.0
2021-11-29,46489.0
2021-11-30,47969.0
2021-12-01,49328.0
2021-12-02,624531.0
2021-12-03,85445.0
2021-12-04,46310.0
2021-12-05,45107.0
2021-12-06,37352.0
2021-12-07,59818.0
2021-12-08,136301.0
2021-12-09,111209.0
2021-12-10,54973.0
2021-12-11,46518.0
2021-12-12,65730.0
2021-12-13,175336.0
2021-12-14,73572.0
2021-12-15,71654.0
2021-12-16,56733.0
2021-12-17,50906.0
2021-12-18,46415.0
2021-12-19,31784.0
2021-12-20,52108.0
2021-12-21,53906.0
2021-12-22,75356.0
2021-12-23,54185.0
2021-12-24,61735.0
2021-12-25,54776.0
2021-12-26,79591.0
2021-12-27,75492.0
2021-12-28,125475.0
2021-12-29,102415.0
2021-12-30,59085.0
2021-12-31,78605.0
2022-01-01,65404.0
2022-01-02,65225.0
2022-01-03,41002.0
2022-01-04,40274.0
2022-01-05,24996.0
2022-01-06,53708.0
2022-01-07,60678.0
2022-01-08,37065.0
2022-01-09,53078.0
2022-01-10,77610.0
2022-01-11,62351.0
2022-01-12,74594.0
2022-01-13,44477.0
2022-01-14,50873.0
2022-01-15,105083.0
2022-01-16,90673.0
2022-01-17,82854.0
2022-01-18,53818.0
2022-01-19,44023.0
2022-01-20,49624.0
2022-01-21,41384.0
2022-01-22,36385.0
2022-01-23,37907.0
2022-01-24,28475.0
2022-01-25,38994.0
2022-01-26,51387.0
2022-01-27,65905.0
2022-01-28,101373.0
